platform,komentar
YouTube,"Saya lebih suka para stand-up comedian buat karya karya yg mengibur kayak gini.. Dari pada maksain diri ikut politik, yg jelas2bukan kapasitasnya 👍👍👍👍👍👍👍👍👍👍👍"
YouTube,"Dh nonton minggu kmrn. Sangat diluar bayangan . Komedi dapet. Acting dapet.  Cerita dapet. Gua dan penonton lain ngakak, serius, dan sedih berkali2 (cewe gua malah smp nangis).Suksessss. Ditunggu film keduanya"
YouTube,Lawannya film ini ..gampang cuan
YouTube,Kalian terbaik
YouTube,Setelah nonton jujur film ini memang komedinya top banget 😂 gak nyesel
YouTube,Pasti akan ada Agak Laen 2! Ditunggu koh Ernest 😂🔥
YouTube,Ngakak parah nonton ini good job
YouTube,Baggguuuus bgt filmnya kocak habiiisss ..
YouTube,"Udh nonton, sumpah lucu banget sihh🤣🤣 satu bioskop ngakak polll wkwkwk"
YouTube,"baru habis nonton,,sumpah ngakak parah,lucunya dpt,sedih nya dpt"
YouTube,"ga brenti ketawa saya nontonnya mantapppp
hahahahaha setane batakkkkkkkk wkwkkwkw"
YouTube,5 juta
YouTube,Udah nonton seruuu banget❤❤🎉
YouTube,"Lucuuuu , rekomendeddd ges"
YouTube,AQ sudah nonton 2X GK rugi Sumpah Fim ny nilai ny 1000 👍👍👍👍👍👍👍👍👍👍👍
YouTube,Angin dudok 😂
YouTube,Anak2 boleh nonton ga si
YouTube,Sweruuuuu polll.kalen wajibb nonton bahhh
YouTube,Gokill full ngakakk
YouTube,6 juta bisa nih😊
YouTube,Ku nntn malah tidur 😅
YouTube,Udh nonton bloppers nya lucu bgt co trs yang di akhir dikira udh nikah ternyata belum 😂
YouTube,saran bang dibikin series aja sama kaya film luar hangover kalo bisa kaya warkop juga bisa tapi versi abang2 sendiri
YouTube,Pas awal2 ngmg ke doi ah ga lucu filmnya. Eh pas aci sama ardit masuk meledak tawa ku🤣😂 eh smpe skrg masih kesana kesini nontonin konten mereka😂
YouTube,Filmnya Kereeeen lucu dan ngakak bgt 😅😁
YouTube,Dari semua film komedi Indo baru ini yg bikin ketawa dr awal ampe selesai parah ini kocak abis 😂😂
YouTube,Njirrr kelar nonton perutku capeee ketawa teeusssss🤣🤣🤣🤣🤣
YouTube,Fix harus nonton 😂❤
YouTube,Awal release langsung nonton 😅 alhasil selama film mulai sampai selesainya perut di buat mules 🤣🤣🤣
YouTube,Dari awal ketawa muluuu!!!😭😭 100/10 🔥🔥🔥🔥🔥🔥🔥🔥
YouTube,Udh nonton sepanjang film ini di bikin sakit perut karena ketawa mulu
YouTube,Ini film seru banget udah nonton 😂😂
YouTube,ADA LUCU NYA ADA SEDIH NYA ADA SEDIKITT AJA SERAM NYA 😮😮 MANTAPP
YouTube,Film terkocak terngakak dan terlucu dan terbaik pasti nya ❤❤❤❤
YouTube,Udah nonton tp masih pingin nnton lg
YouTube,nopek : setane batak cok
YouTube,Ini rating y apa y?
YouTube,Terbaikkk gk berhenti ngakak😂
YouTube,"Selamat 4,2 juta penonton 🎉🎉🎉"
YouTube,Asli kocak kali woe... Yang blm nonton buruan nonton... Ada sampai ngakak ngakak trus... Wkwkwkwk
YouTube,JANGAN SPOILER PAK
YouTube,Udah nonton.... keren... lucu abis....😅😅
YouTube,wkkwkwkw lawak betul bah...
YouTube,"Kenal ama bang ernest sejak maen sm adipati dolken, trus ngikutin semua movienya, soalnya talentanya ok bgt, n gk nyangka semakin kesini semakin keren 🎉"
YouTube,"Lucuuu bgt ,, aku nonton sampe sakt perut ga brenti ketawa..."
YouTube,"harus nonton, di jamin bakal ngakak dari awal sampe akhir 9/10"
YouTube,NGAKAK PARAHHHHHHHH
YouTube,Tembus 4jt hari ini. Wow!
YouTube,"Barusan nonton tadi, sumpilll ngakak 😂🤣🤣🤣"
YouTube,Ditunggu film selanjutnya
YouTube,kocak maksimal..
YouTube,"Udahh nonton, emng se seru ituu coyy dann emng bener' lucu dari awal film sampai endingnya hahaha the best emng nih film, emng agak laen"
YouTube,"Cocok d tonton anak2 klo buat sy pribadi kurng cocok kurng natural. 

Notes: Selera org beda2."
YouTube,Ngakak anjir 😂
YouTube,Lucu banget 😂😂😂😂😂
YouTube,2x Nonton Dong...😂😂😂
